speaker_id,utterance,emotion,v,a,d,emo_evo,start,end
Ses01F_script02_1_F015,Not particularly.,neu,2.5,1.5,2.5,"[['ang'], ['neu'], ['neu']]",137.29,139.6146
Ses01F_script02_1_M023,Why not?,neu,2.5,2.0,1.5,"[['neu'], ['oth'], ['neu']]",139.11,141.04
Ses01F_script02_1_F016,I just don't.  It's stupid.,xxx,2.0,1.5,2.0,"[['ang'], ['dis'], ['fru']]",140.5,143.07
Ses01F_script02_1_M024,"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this.  It's just forty minutes away for us; it's too good to pass up.",neu,3.0,3.0,2.5,"[['neu'], ['neu'], ['neu']]",142.78,155.64
Ses01F_script02_1_F017,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die.",fru,2.0,3.5,3.5,"[['dis'], ['fru'], ['fru']]",154.9,163.99
Ses01F_script02_1_M025,Yeah.  But this..this moment on the beach is like the highlight of their little lives.  All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neu,3.0,3.0,2.5,"[['neu'], ['neu'], ['neu']]",163.19,176.2823
Ses01F_script02_1_M026,This is a big night for these little guys.  It's like life's last orgy.,neu,3.5,3.0,3.0,"[['exc'], ['neu'], ['neu']]",176.3975,181.55
Ses01F_script02_1_F018,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.,xxx,2.5,2.0,3.0,"[['fru'], ['dis'], ['neu']]",180.6769,189.45
Ses01F_script02_1_M027,Yeah they do.,fru,3.0,3.0,2.5,"[['fru'], ['neu'], ['fru']]",188.88,190.47
Ses01F_script02_1_F019,Oh Augie,fru,2.0,2.0,3.0,"[['fru'], ['fru', 'dis'], ['fru']]",189.93,191.59
Ses01F_script02_1_M028,"okay... well, Whatever.  But it's a fish who do something no other fish do.  It's like those swallows returning to Capistrano or like those lemmings that throw themselves off the cliffs.",xxx,3.5,3.0,2.5,"[['exc'], ['hap'], ['neu']]",191.13,201.97
Ses01F_script02_1_M029,"There's like mystery here, there's magic.  It's like a little bit of the unexplainable.  I just can't see how you're not interested.",neu,3.5,3.0,2.5,"[['neu'], ['dis'], ['neu']]",202.025,209.4025
Ses01F_script02_1_F020,I'm just not.,xxx,2.5,1.5,2.0,"[['fru'], ['dis'], ['neu']]",208.38,210.2
Ses01F_script02_1_M030,For real?,sur,3.0,3.5,2.0,"[['sur'], ['sur'], ['sur']]",209.63,211.115
Ses01F_script02_1_F021,Yeah.,fru,2.5,2.0,3.0,"[['fru'], ['neu'], ['fru']]",210.64,211.92
Ses01F_script02_1_M031,"God, I don't get it.  you know the first time we came here, you said it was the best night of your life?",neu,3.5,3.0,2.0,"[['neu'], ['neu'], ['oth']]",211.55,218.56
Ses01F_script02_1_M032,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neu,3.0,2.5,2.0,"[['neu'], ['fru'], ['neu']]",218.6125,225.27
Ses01F_script02_1_F022,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions.",xxx,2.5,3.0,3.0,"[['ang'], ['fru'], ['neu']]",224.58,237.005
Ses01F_script02_1_M033,Ahh...we weren't in a good spot.,neu,3.5,2.5,3.0,"[['neu'], ['neu'], ['neu']]",236.5,238.77
Ses01F_script02_1_F023,Hmm.  We didn't see them the year before either.,fru,2.5,2.5,3.5,"[['fru'], ['fru', 'oth'], ['neu']]",238.14,240.73
Ses01F_script02_1_M034,"We just weren't in a good spot.  I'm telling you, this is a much better spot.  I have instincts for these things.",neu,3.0,2.5,3.0,"[['neu'], ['neu'], ['neu']]",240.17,245.71
Ses01F_script02_1_M035,"Look there, see?  What's that?  No, that's - that's just seaweed.",exc,3.0,4.0,2.5,"[['exc'], ['sur'], ['exc']]",245.79,253.114
Ses01F_script02_1_M036,"God, this is great.  Think about this.  I know you are not interested, but just think about this.",hap,3.5,3.5,2.5,"[['hap'], ['hap'], ['hap']]",253.17,261.4425
Ses01F_script02_1_M037,"Right now out there, there is this mass of silver fish and it's heading this way.  No one sent them an invitation, no one told them, no one even gave them a map.",xxx,4.0,3.5,2.5,"[['exc'], ['oth', 'hap'], ['exc', 'hap']]",261.5675,276.6283
Ses01F_script02_1_M038,"Just all at once, they turned and they formed this line as long as the California coast.  And some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming.",exc,3.5,3.5,2.5,"[['exc'], ['oth'], ['exc', 'hap']]",276.7775,291.4
Ses01F_script02_1_M039,They are swimming right now.  They are swimming as if that is the only thing that matters to them.,xxx,3.0,3.5,2.5,"[['exc'], ['oth'], ['hap']]",291.47,298.1386
Ses01F_script02_1_M040,It's single mindedness with no mind.  It is urgency that is just pure urge.,exc,3.0,3.5,2.5,"[['exc'], ['oth'], ['exc', 'hap']]",298.2452,305.66
Ses01F_script02_1_M041,And they are swimming right now to this very point where we stand for this huge celebration of sex and death.,xxx,3.0,3.5,2.5,"[['exc'], ['oth'], ['hap']]",305.985,316.09
Ses01F_script02_1_M042,"Oh look.  I'm giving myself goose bumps, my hairs are standing up on my arm.",xxx,4.0,3.0,2.5,"[['exc'], ['oth', 'hap'], ['exc', 'hap']]",316.1527,321.7375
Ses01F_script02_1_F024,That's the wind.,neu,2.5,1.5,2.5,"[['fru'], ['neu', 'oth'], ['neu']]",321.21,323.82
Ses01F_script02_1_M043,So what do you think?,hap,4.0,3.0,2.0,"[['hap'], ['hap'], ['hap']]",324.15,327.0891
Ses01F_script02_1_F025,About what?,neu,2.5,1.5,2.0,"[['neu'], ['neu'], ['neu']]",326.56,329.03
Ses01F_script02_1_M044,"About all of that, about all I was talking about.",hap,4.0,2.0,1.5,"[['hap'], ['neu'], ['hap']]",328.24,331.9283
Ses01F_script01_3_F000,You're the only one who still loves his parents.,neu,4.0,1.6667,2.3333,"[['hap'], ['neu'], ['neu']]",4.8285,8.9243
Ses01F_script01_3_M000,"I know.  It kind of went out of style, didn't it?",neu,4.0,1.6667,2.0,"[['exc', 'hap'], ['neu'], ['neu']]",8.59,13.17
Ses01F_script01_3_F001,It's not so bad; it's a good thing.,neu,4.3333,2.0,2.3333,"[['hap'], ['neu'], ['neu']]",12.3484,17.0473
Ses01F_script01_3_F002,"[BREATHING] You know, it's lovely here.  The air is sweet.",neu,3.3333,2.0,2.3333,"[['hap'], ['neu'], ['neu']]",17.1566,26.1173
Ses01F_script01_3_M001,You're not sorry you came.,neu,3.0,2.0,2.3333,"[['exc'], ['neu'], ['neu']]",26.0445,28.8493
Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay.",neu,3.0,1.3333,2.3333,"[['hap'], ['neu'], ['neu']]",28.31,36.1344
Ses01F_script01_3_M002,Why not?,xxx,2.6667,1.6667,2.0,"[['hap'], ['sad'], ['neu']]",36.1709,38.5386
Ses01F_script01_3_F004,"For one thing, your mother much as told me to go.",neu,3.3333,2.6667,2.6667,"[['hap'], ['neu'], ['neu']]",38.32,41.6
Ses01F_script01_3_M003,Well.,neu,4.0,2.6667,1.6667,"[['hap'], ['neu'], ['neu']]",41.0,43.32
Ses01F_script01_3_F005,"And then, you.  You've been kind of...",neu,3.3333,2.0,1.6667,"[['hap'], ['neu'], ['neu']]",42.82,47.33
Ses01F_script01_3_M004,What?,neu,3.0,3.0,2.6667,"[['hap'], ['neu'], ['neu']]",47.21,49.51
Ses01F_script01_3_F006,Sort of embarrassed ever since I got here.,neu,3.0,2.3333,2.3333,"[['hap'], ['neu'], ['neu']]",49.1,53.9831
Ses01F_script01_3_M005,Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,neu,4.0,2.6667,2.3333,"[['exc'], ['neu'], ['neu']]",54.62,63.9
Ses01F_script01_3_F007,I knew they would.,neu,2.6667,1.3333,2.3333,"[['hap'], ['neu'], ['neu']]",63.01,65.8944
Ses01F_script01_3_M006,You did?,xxx,3.3333,1.6667,1.6667,"[['hap'], ['sur'], ['neu']]",67.6792,69.8648
Ses01F_script01_3_F008,"Well sure, from your mother's point of view.  Why else would I come?",neu,3.6667,2.6667,3.0,"[['hap'], ['neu'], ['neu']]",69.64,75.91
Ses01F_script01_3_M007,"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",xxx,3.0,3.0,2.0,"[['exc', 'fea'], ['neu'], ['oth']]",78.08,87.25
Ses01F_script01_3_F009,"I, umm. I guess, I guess that's kind of why I came.",neu,4.0,3.0,2.0,"[['hap'], ['neu'], ['neu']]",87.61,94.67
Ses01F_script01_3_F010,[BREATHING],hap,4.6667,3.6667,2.3333,"[['exc', 'hap'], ['hap'], ['hap']]",97.02,98.4227
Ses01F_script01_3_M008,"I love you. Annie, I love you.",hap,4.6667,3.6667,2.6667,"[['hap'], ['hap'], ['hap']]",98.07,105.58
Ses01F_script01_3_F011,[LAUGHTER],hap,4.6667,4.0,2.6667,"[['hap'], ['hap'], ['hap']]",98.9525,101.725
Ses01F_script01_3_M009,"I don't really have any imagination, that's all I know how to say.",hap,4.6667,4.0,2.3333,"[['hap'], ['exc', 'hap'], ['hap']]",106.5092,114.9575
Ses01F_script01_3_F012,[LAUGHTER],hap,5.0,4.3333,2.3333,"[['hap'], ['hap'], ['hap']]",108.9225,114.07
Ses01F_script01_3_M010,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",hap,4.3333,4.0,2.6667,"[['fea'], ['exc', 'hap'], ['hap']]",115.2878,126.545
Ses01F_script01_3_F013,No. No,hap,4.3333,3.3333,2.3333,"[['hap'], ['hap'], ['hap']]",117.0,118.8
Ses01F_script01_3_M011,"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",xxx,3.0,3.3333,3.0,"[['fea'], ['hap'], ['neu']]",126.68,137.2162
Ses01F_script01_3_F014,"Chris, I've been ready a long, long, time.",neu,3.0,2.6667,3.0,"[['hap'], ['neu'], ['neu']]",137.289,142.2065
Ses01F_script01_3_M012,And he's gone forever?  Are you sure?,xxx,2.6667,2.6667,3.0,"[['hap'], ['sad'], ['neu']]",142.91,147.379
Ses01F_script01_3_F015,I almost got married two years ago.,neu,3.0,2.0,2.3333,"[['sad'], ['neu'], ['neu']]",146.98,150.5845
Ses01F_script01_3_M013,Why didn't you?,xxx,2.0,2.3333,2.0,"[['hap'], ['sur'], ['neu']]",151.03,153.5714
Ses01F_script01_3_F016,You started to write me.,neu,2.6667,1.6667,1.6667,"[['sad'], ['neu'], ['neu']]",153.3875,156.3762
Ses01F_script01_3_M014,You felt something that far back?,sur,4.3333,3.3333,2.3333,"[['hap'], ['sur'], ['sur']]",156.3033,159.54
Ses01F_script01_3_F017,Every day since.,hap,4.3333,3.0,2.6667,"[['hap'], ['hap'], ['hap']]",159.06,161.23
Ses01F_script01_3_M015,Why didn't you let me know?,hap,4.0,4.0,3.3333,"[['hap'], ['hap'], ['sur', 'hap']]",160.7,163.66
Ses01F_script01_3_F018,"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",xxx,4.3333,4.3333,4.3333,"[['exc'], ['exc', 'hap'], ['hap']]",162.8,169.66
Ses01F_script01_3_M016,Give me a...,hap,4.0,3.3333,2.3333,"[['hap'], ['hap'], ['sur', 'hap']]",171.72,173.6
Ses01F_script01_3_M017,Give me a kiss.,hap,4.0,3.0,3.3333,"[['hap'], ['hap'], ['sur']]",173.67,175.7325
Ses01F_script01_3_M018,God.  I kissed you Annie.,xxx,5.0,4.3333,3.6667,"[['exc'], ['exc', 'hap'], ['hap']]",180.26,186.3491
Ses01F_script01_3_F019,beating around the bush.,hap,4.3333,4.0,3.3333,"[['hap'], ['hap'], ['hap']]",169.69,172.46
Ses01F_script01_3_F020,"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",hap,4.3333,3.6667,3.6667,"[['hap'], ['exc', 'hap'], ['hap']]",186.209,193.68
Ses01F_script01_3_M019,"Oh Annie, we are going to live now.  I am going to make you so happy.",hap,4.3333,3.3333,3.6667,"[['hap'], ['exc', 'hap'], ['hap']]",191.1025,196.74
Ses01F_script01_3_F021,Not like that you're not.,hap,4.0,2.3333,3.0,"[['hap'], ['hap'], ['hap']]",196.14,198.895
Ses01F_script01_3_M020,I kissed you.,hap,4.0,3.6667,2.3333,"[['hap'], ['hap'], ['neu']]",199.1,201.4
Ses01F_script01_3_F022,"Like Larry's brother.  Do it like you, Chris.",neu,3.3333,1.6667,3.0,"[['hap'], ['neu'], ['neu']]",200.92,206.29
Ses01F_script01_3_F023,"Chris, what is it?",xxx,2.0,2.3333,2.3333,"[['fea'], ['oth'], ['neu']]",212.5813,215.67
Ses01F_script01_3_M021,"Hey, let's drive some place.  Huh?  Let's get out of here.",sad,2.6667,2.6667,2.6667,"[['sad'], ['sad'], ['neu']]",216.48,220.04
Ses01F_script01_3_F024,No. What is it?  Is it your mother?,xxx,2.0,2.3333,3.0,"[['sad', 'fea'], ['oth'], ['neu']]",218.54,222.9675
Ses01F_script01_3_M022,No it's nothing like that. It's-,sad,3.0,2.0,2.0,"[['sad'], ['sad'], ['neu']]",222.68,225.5
Ses01F_script01_3_F025,"Then what?  Chris.  Even in your letters, there was something ashamed.",xxx,2.3333,1.6667,2.6667,"[['sad'], ['oth'], ['neu']]",225.04,232.9798
Ses01F_script01_3_M023,Yeah.  I suppose I have been. But it's going from me.,sad,2.3333,3.0,2.3333,"[['sad'], ['sad'], ['neu']]",232.7248,240.3
Ses01F_script01_3_F026,You've got to tell me.,xxx,2.6667,1.6667,2.6667,"[['sad'], ['oth'], ['neu']]",240.62,243.65
Ses01F_script01_3_M024,I don't even know how to start.,sad,2.3333,3.0,2.3333,"[['sad'], ['sad'], ['neu']]",243.83,247.52
Ses01F_script01_3_F027,It wouldn't work like this.,xxx,2.3333,2.3333,2.3333,"[['sad'], ['oth'], ['neu']]",247.48,250.62
Ses01F_script01_3_M025,"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",sad,2.6667,3.0,2.3333,"[['sad'], ['fru', 'sad'], ['neu']]",251.5,259.73
Ses01F_script01_3_F028,"Yeah, sure.",neu,2.6667,2.3333,1.6667,"[['sad'], ['neu'], ['neu']]",259.13,261.66
Ses01F_script01_3_M026,Well I lost them.,sad,2.0,1.6667,2.3333,"[['sad'], ['sad'], ['sad']]",261.75,264.9617
Ses01F_script01_3_F029,How many?,neu,2.3333,2.0,2.0,"[['sad'], ['neu'], ['neu']]",266.31,268.5425
Ses01F_script01_3_M027,Pretty much all.,sad,2.3333,1.6667,2.6667,"[['sad'], ['sad'], ['sad']]",268.56,270.7875
Ses01F_script01_3_F030,"Aw, geez.",sad,1.6667,2.3333,1.3333,"[['sad'], ['sur'], ['sad']]",270.66,273.26
Ses01F_script01_3_M028,You can't just toss off a thing like that because they weren't just men. You know?,sad,1.6667,3.3333,3.6667,"[['sad'], ['sad'], ['sad']]",272.44,283.5024
Ses01F_script01_3_M029,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",sad,2.3333,2.3333,2.6667,"[['sad'], ['sad'], ['sad']]",283.73,304.58
Ses01F_script01_3_M030,"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",sad,2.0,2.3333,3.6667,"[['sad'], ['sad'], ['sad']]",304.7751,319.99
Ses01F_script01_3_M031,"And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",xxx,2.0,2.6667,3.6667,"[['fru'], ['sad'], ['neu']]",320.9,344.48
Ses01F_script01_3_F031,Mmhmm.,neu,2.0,1.0,1.3333,"[['neu'], ['neu'], ['neu']]",344.18,345.74
Ses01F_script01_3_M032,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad,2.0,3.0,3.3333,"[['fru', 'sad'], ['sad'], ['sad']]",345.9,359.22
Ses01F_script01_3_M033,"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",sad,1.6667,3.3333,3.3333,"[['sad'], ['sad'], ['neu']]",360.2517,378.35
Ses01F_script01_3_M034,Driving my new car and seeing a new refrigerator.,xxx,1.6667,3.0,3.3333,"[['fru'], ['sad'], ['oth']]",378.47,383.65
Ses01F_script01_3_M035,"I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",xxx,2.3333,3.6667,3.6667,"[['fru'], ['sad'], ['oth']]",384.52,400.648
Ses01F_script01_3_M036,And I didn't want any of it. I guess that included you.,sad,2.0,2.6667,2.3333,"[['sad'], ['sad'], ['sad']]",401.91,412.59
Ses01F_script01_3_F032,Do you still feel that way?,xxx,2.3333,1.3333,1.6667,"[['sad'], ['oth'], ['neu']]",415.8011,419.8444
Ses01F_script01_3_M037,I just want you to know Annie.,neu,2.3333,2.3333,2.3333,"[['fru'], ['neu'], ['neu']]",419.4437,422.5035
Ses01F_script01_3_F033,"Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?",xxx,2.0,2.3333,3.6667,"[['exc', 'sad'], ['oth'], ['neu']]",422.467,432.4477
Ses01F_script01_3_F034,"Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.",xxx,2.6667,2.6667,4.0,"[['exc'], ['oth'], ['neu']]",432.557,450.47
Ses01F_script01_3_M038,"Annie, Annie.  I am going to make a fortune for you.",xxx,4.0,3.0,3.0,"[['exc'], ['neu'], ['hap']]",451.04,460.28
Ses01F_script01_3_F035,What would I do with a fortune?,hap,4.0,2.0,2.3333,"[['hap'], ['neu'], ['hap']]",459.57,463.06
Ses01M_script02_2_M000,They're out there swimming right now...,xxx,3.0,3.5,2.5,"[['fea'], ['exc'], ['neu']]",1.85,6.5924
Ses01M_script02_2_M001,...to this spot for this massive celebration of like sex and death...,exc,4.0,4.0,2.5,"[['fea'], ['exc'], ['exc']]",6.89,15.1948
Ses01M_script02_2_M002,"Look at this, my hairs are standing up my arm. I'm giving myself goose bumps.",exc,4.0,3.5,2.5,"[['fea', 'exc'], ['exc'], ['exc']]",15.9987,21.26
Ses01M_script02_2_F000,That's the wind.,neu,4.0,2.0,2.5,"[['oth'], ['neu'], ['neu']]",21.0588,23.3952
Ses01M_script02_2_M003,"Well, so?  What do you think?",exc,4.5,3.0,2.0,"[['fea', 'exc'], ['hap'], ['exc']]",23.48,27.71
Ses01M_script02_2_F001,About what?,xxx,3.0,3.0,3.0,"[['hap'], ['oth'], ['fru']]",27.58,29.9072
Ses01M_script02_2_M004,About what I was saying.,xxx,4.0,2.5,2.0,"[['exc'], ['hap'], ['neu']]",29.465,31.7161
Ses01M_script02_2_F002,I think it's ridiculous.,fru,2.5,3.0,2.5,"[['fru'], ['ang'], ['fru']]",31.34,34.32
Ses01M_script02_2_M005,It certainly is not.  It's like slightly exaggerated scientific fact.,xxx,3.0,3.0,3.0,"[['exc'], ['hap'], ['neu']]",35.15,41.26
Ses01M_script02_2_F003,It's a PR.,fru,2.0,3.5,3.0,"[['fru'], ['ang'], ['fru']]",40.72,43.2
Ses01M_script02_2_F004,Somebody sold you a bill of goods that something amazing is going to happen on the beach.,xxx,2.5,3.5,3.0,"[['oth'], ['ang'], ['neu']]",43.23,48.3982
Ses01M_script02_2_M006,"It's not just me, okay?  Look at like all the people.",fru,2.5,3.0,2.5,"[['fru'], ['neu'], ['fru']]",48.961,52.06
Ses01M_script02_2_F005,They're all told the same thing.,fru,2.5,2.5,2.5,"[['fru'], ['ang'], ['fru']]",51.57,53.81
Ses01M_script02_2_F006,"Everybody is believes that it keeps them excited, you know it keeps them coming back for more.",fru,2.5,3.0,2.5,"[['fru'], ['ang'], ['fru']]",53.86,60.2968
Ses01M_script02_2_F007,"Everybody keeps thinking that they can just find the right spot, you know they'll get it on the action.",fru,2.5,3.0,2.5,"[['fru'], ['neu'], ['fru']]",60.36,65.64
Ses01M_script02_2_F008,Their life will start then.,fru,2.5,2.5,2.5,"[['fru'], ['ang'], ['fru']]",65.69,68.7785
Ses01M_script02_2_M007,Are we talking about the same thing?,xxx,2.5,2.5,2.0,"[['fru'], ['sur'], ['neu']]",70.2257,73.36
Ses01M_script02_2_F009,I'm sorry it still just fish to me.,fru,2.5,3.5,3.0,"[['fru'], ['ang'], ['fru']]",73.04,76.81
Ses01M_script02_2_M008,Can I ask you a question?  Are you on your period?,neu,2.5,2.5,1.5,"[['fru', 'exc'], ['neu'], ['neu']]",79.84,84.93
Ses01M_script02_2_F010,"Why do you ask me that?  God damn it, I told you not to ask me that I hate it when you ask me that. It's insulting.",ang,1.5,4.5,4.0,"[['ang'], ['ang'], ['ang']]",84.355,91.7025
Ses01M_script02_2_M009,"Okay, well then what's bugging you?",xxx,2.5,3.5,2.5,"[['exc'], ['ang'], ['fru']]",90.985,93.79
Ses01M_script02_2_F011,"I just, we just have different ideas of what this evening is supposed to look like.",ang,1.5,3.5,3.0,"[['ang'], ['ang'], ['fru']]",93.13,98.07
Ses01M_script02_2_M010,"Is not supposed to like anything.  We come down here, we look at the fish, they arrive, we go woo-ah fish.",fru,2.0,3.5,3.0,"[['fru'], ['fru'], ['neu']]",97.97,104.61
Ses01M_script02_2_F012,"Oh. Grow up Augie, the fish are not going to come.",fru,2.0,3.5,3.5,"[['ang'], ['fru'], ['fru']]",104.1425,109.02
Ses01M_script02_2_M011,And then we go home and they go home.,xxx,2.0,3.5,2.5,"[['fru'], ['exc'], ['neu']]",104.61,107.08
