speaker,uttID,utterance,emotion,sentiment,non_con_out,con_out,con_out_mean,match,con_match,EDA,Cor_EDA,all_match
b'Ses01M_impro07_M015',Ses01M_impro07_M015,"b""Yeah, but no. Well, they have a night games but you know there's more like night games they're not like morning games, you know. I guess it's kind of same thing.""",xxx,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F019',Ses01M_impro07_F019,"b""I'm surprised you don't know that.""",xxx,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F020',Ses01M_impro07_F020,b'Oh. That is incredible. Is it--',neu,sentiment,ba,aa,sv,NotMatch,NotConMatch,aa,CORRECT,NotMatch
b'Ses01M_impro07_F021',Ses01M_impro07_F021,"b""do they have a--is it a co-ed softball team?  I mean... Really? You know, I didn't even know that they have that.""",exc,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_impro07_M016',Ses01M_impro07_M016,"b""No it's all boys. All boys' softball team.""",xxx,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_M017',Ses01M_impro07_M017,"b""They do it's--believe me it's huge.""",hap,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_F022',Ses01M_impro07_F022,b'Who do you play? Like do--are you like... nationally ranked?',exc,sentiment,qw,qy,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01M_impro07_M018',Ses01M_impro07_M018,b'I just got into it. I just kind of fell into it. Literally I was walking around and...',exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F023',Ses01M_impro07_F023,b'That is unbelievable.',exc,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_M019',Ses01M_impro07_M019,"b""It's pretty wild.""",hap,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_F024',Ses01M_impro07_F024,b'I would put that right up there with--ping-pong.',exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_M020',Ses01M_impro07_M020,"b'Yeah, well I doubt [GARBAGE] ping pong [GARBAGE]'",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F025',Ses01M_impro07_F025,"b""I mean not to denigrate what you are doing.  I think that's great.""",exc,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_M021',Ses01M_impro07_M021,"b""Oh you mean it's not really sport that what you're saying?""",sur,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_impro07_F026',Ses01M_impro07_F026,"b'No, no.  I love softball. I played softball all the time.'",exc,sentiment,sd,na,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_M022',Ses01M_impro07_M022,"b""It's totally a sport. What are you talking about?""",sur,sentiment,qy,qw,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01M_impro07_M023',Ses01M_impro07_M023,"b""What, just 'cause I don't play regular baseball doesn't mean I'm like any less of like a sports guy.""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F027',Ses01M_impro07_F027,"b""I am not saying you should be. I'm not no. I think it's great I think you should be incredibly proud yourself especially because you're going to U.S.C for free for doing it. For free.""",exc,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_M024',Ses01M_impro07_M024,"b""For free that's really what it's about. I mean who cares I mean if I have to play softball all the time?""",exc,sentiment,sd,^q,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_M025',Ses01M_impro07_M025,b'But they got to like drive around in a bus--that would suck.',xxx,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F028',Ses01M_impro07_F028,b'Oh really? With the whole team?',xxx,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_impro07_M026',Ses01M_impro07_M026,b'Yeah we have like away games and stuff.',neu,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_F029',Ses01M_impro07_F029,"b""What are your teammates like? I'm sure you don't know yet? What kind of people play softball?""",xxx,sentiment,qw,qy,qo,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01M_impro07_M027',Ses01M_impro07_M027,"b""They're nice.""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_M028',Ses01M_impro07_M028,"b""Like, you know like police officers, like--kind of heavyset guys. Mustaches, yeah. It's that kind of-""",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_impro07_F030',Ses01M_impro07_F030,b'Oh really?',xxx,sentiment,bh,bh,bh,NotMatch,NotConMatch,bh,bh,AllMatch
b'Ses01M_impro07_F031',Ses01M_impro07_F031,"b""Cool. You don't seem like you'd fit in there.""",xxx,sentiment,sv,sv,bf,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_impro07_M029',Ses01M_impro07_M029,"b""That kind of...They're okay.  No I'm like- I'm kind of like the odd man out I'm like...""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F032',Ses01M_impro07_F032,"b'Oh, cool.'",xxx,sentiment,ba,ba,b,Match,NotConMatch,ba,ba,NotMatch
b'Ses01M_impro07_M030',Ses01M_impro07_M030,"b""But you know I'm like [GARBAGE].""",neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_F033',Ses01M_impro07_F033,"b""You're like the rookie? The new kid.""",hap,sentiment,qy,qy^d,qy^d,NotMatch,ConMatch,qy^d,qy^d,NotMatch
b'Ses01M_impro07_M031',Ses01M_impro07_M031,b'Yeah.',xxx,sentiment,b,ny,ny,NotMatch,ConMatch,ny,ny,NotMatch
b'Ses01M_impro07_F034',Ses01M_impro07_F034,"b""Just watch in five years you'll be like on the force. You carry around donuts in your back pocket... [LAUGHTER]""",hap,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_impro07_M032',Ses01M_impro07_M032,"b""I'm going to have a mustache...On the force...""",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_impro07_M033',Ses01M_impro07_M033,b'Pull over..',hap,sentiment,ad,b^m,bf,NotMatch,NotConMatch,b^m,CORRECT,NotMatch
b'Ses01F_impro01_F000',Ses01F_impro01_F000,b'Excuse me.',neu,sentiment,br,fa,ad,NotMatch,NotConMatch,fa,CORRECT,NotMatch
b'Ses01F_impro01_M000',Ses01F_impro01_M000,b'Do you have your forms?',fru,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro01_F001',Ses01F_impro01_F001,b'Yeah.',neu,sentiment,b,ny,ny,NotMatch,ConMatch,ny,ny,NotMatch
b'Ses01F_impro01_M001',Ses01F_impro01_M001,b'Let me see them.',fru,sentiment,ad,^h,ad,Match,NotConMatch,ad,ad,NotMatch
b'Ses01F_impro01_F002',Ses01F_impro01_F002,b'Is there a problem?',neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro01_M002',Ses01F_impro01_M002,b'Who told you to get in this line?',fru,sentiment,qw,qy,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01F_impro01_F003',Ses01F_impro01_F003,b'You did.',xxx,sentiment,sd,sv,ng,NotMatch,NotConMatch,sv,CORRECT,NotMatch
b'Ses01F_impro01_F004',Ses01F_impro01_F004,b'You were standing at the beginning and you directed me.',xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_M003',Ses01F_impro01_M003,"b""Okay. But I didn't tell you to get in this line if you are filling out this particular form.""",fru,sentiment,sd,ad,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro01_F005',Ses01F_impro01_F005,"b""Well what's the problem?  Let me change it.""",neu,sentiment,qw,qw,ad,Match,NotConMatch,qw,qw,NotMatch
b'Ses01F_impro01_M004',Ses01F_impro01_M004,b'This form is a Z.X.four.',fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_M005',Ses01F_impro01_M005,"b""You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.""",fru,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro01_F006',Ses01F_impro01_F006,"b""What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.""",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_M006',Ses01F_impro01_M006,b'No. I need another set of ID to prove this is actually you.',fru,sentiment,sd,sd,ad,Match,NotConMatch,sd,sd,NotMatch
b'Ses01F_impro01_F007',Ses01F_impro01_F007,b'How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?',fru,sentiment,sd,qh,^q,NotMatch,NotConMatch,qh,CORRECT,NotMatch
b'Ses01F_impro01_M007',Ses01F_impro01_M007,"b""I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.""",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_F008',Ses01F_impro01_F008,"b""I'm here to get an ID.""",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_M008',Ses01F_impro01_M008,"b'No.  I need another ID, a separate one.'",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_F009',Ses01F_impro01_F009,b'Like what?  Like a birth certificate?',fru,sentiment,qw,qy,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01F_impro01_M009',Ses01F_impro01_M009,"b""A birth certificate, a passport...a student ID; didn't you go to school?  Anything?""",fru,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro01_F010',Ses01F_impro01_F010,b'Who the hell has a birth certificate?',xxx,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_impro01_F011',Ses01F_impro01_F011,"b""Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?""",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_M010',Ses01F_impro01_M010,"b'Yeah.  We keep it on file, but we need an ID to access that file.'",fru,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01F_impro01_F012',Ses01F_impro01_F012,"b""That's out of control.""",ang,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_impro01_M011',Ses01F_impro01_M011,"b""I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.""",ang,sentiment,sv,sv,sd,Match,NotConMatch,sv,sv,NotMatch
b'Ses01F_impro01_F013',Ses01F_impro01_F013,b'How long have you been working here?',fru,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01F_impro01_M012',Ses01F_impro01_M012,b'Actually too long.',xxx,sentiment,sv,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01F_impro01_F014',Ses01F_impro01_F014,"b'Clearly.  You know, do you have like a supervisor or something?'",neu,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro01_M013',Ses01F_impro01_M013,"b""Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.""",ang,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01F_impro01_F015',Ses01F_impro01_F015,b'That would - I would appreciate that.  Yeah.',fru,sentiment,sd,no,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_F000',Ses01M_script01_3_F000,b'The only one I know still love his parents.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M000',Ses01M_script01_3_M000,"b""Yeah, that kind of went out of style didn't it?""",hap,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_script01_3_F001',Ses01M_script01_3_F001,"b""Oh it's not bad thing it's good thing.""",neu,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_script01_3_F002',Ses01M_script01_3_F002,"b""You know it's nice here, the air is sweet.""",xxx,sentiment,sd,sv,sv,NotMatch,ConMatch,sv,sv,NotMatch
b'Ses01M_script01_3_M001',Ses01M_script01_3_M001,"b""You're not sorry you came?""",hap,sentiment,qy^d,qy,qy,NotMatch,ConMatch,qy,qy,NotMatch
b'Ses01M_script01_3_F003',Ses01M_script01_3_F003,"b""Not sorry, no.  I can't stay here.""",sad,sentiment,sd,ng,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_M002',Ses01M_script01_3_M002,b'Why not?',sad,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01M_script01_3_F004',Ses01M_script01_3_F004,b'For one thing your mother as much as told me to go.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M003',Ses01M_script01_3_M003,b'Well.',xxx,sentiment,b,fc,b,Match,NotConMatch,b,b,NotMatch
b'Ses01M_script01_3_F005',Ses01M_script01_3_F005,"b""[BREATHING] And then you've been kind of...""",sad,sentiment,sv,sv,sd,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_script01_3_M004',Ses01M_script01_3_M004,b'What?',neu,sentiment,br,qw,br,Match,NotConMatch,br,br,NotMatch
b'Ses01M_script01_3_F006',Ses01M_script01_3_F006,"b""You've been kind of embarrassed ever since I got here.""",sad,sentiment,sd,sd,sv,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_M005',Ses01M_script01_3_M005,"b""I was kind of planning on sneaking up on you, you know over like a course of a week or so. They just take for granted that we're already set.""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_F007',Ses01M_script01_3_F007,"b'I knew they would, your mother anyway.'",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M006',Ses01M_script01_3_M006,b'You did?',neu,sentiment,bh,qy,qy^d,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01M_script01_3_F008',Ses01M_script01_3_F008,b'From her point of view why else would I come?',neu,sentiment,qw,qh,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01M_script01_3_M007',Ses01M_script01_3_M007,b'Yeah--',neu,sentiment,b,sd,%,NotMatch,NotConMatch,sd,CORRECT,NotMatch
b'Ses01M_script01_3_M008',Ses01M_script01_3_M008,"b""So then would you want to?  I mean I guess, you kind of have to know, maybe that's why I asked you to come.""",xxx,sentiment,sv,sv,qy^d,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_script01_3_F009',Ses01M_script01_3_F009,"b""Well I guess that's why I came.""",xxx,sentiment,sd,na,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_M009',Ses01M_script01_3_M009,"b'Ann, I love you.  I love you.'",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M010',Ses01M_script01_3_M010,b'I love you a great deal.',xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M011',Ses01M_script01_3_M011,"b""I'm sorry I don't really have much of an imagination.""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_F010',Ses01M_script01_3_F010,"b'Chris,'",xxx,sentiment,qy,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_M012',Ses01M_script01_3_M012,"b""I'm sorry I'm embarrassing you, aren't I?  See, I didn't want to do it here I didn't on this porch, with this ring--I didn't want to win you away from anything.""",xxx,sentiment,sd,qy,^q,NotMatch,NotConMatch,qy,CORRECT,NotMatch
b'Ses01M_script01_3_F011',Ses01M_script01_3_F011,"b""I've been ready a long, long time.""",xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M013',Ses01M_script01_3_M013,"b""So then he's gone.  You sure?""",xxx,sentiment,qy,sd,qy,Match,NotConMatch,qy,qy,NotMatch
b'Ses01M_script01_3_F012',Ses01M_script01_3_F012,b'I almost got married two years ago.',neu,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M014',Ses01M_script01_3_M014,"b""Why didn't you?""",neu,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01M_script01_3_F013',Ses01M_script01_3_F013,b'You started to write me.',xxx,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M015',Ses01M_script01_3_M015,b'You felt something that far back?',xxx,sentiment,qy,qy,qy^d,Match,NotConMatch,qy,qy,NotMatch
b'Ses01M_script01_3_F014',Ses01M_script01_3_F014,b'Everyday since.',exc,sentiment,sd,sv,na,NotMatch,NotConMatch,sv,CORRECT,NotMatch
b'Ses01M_script01_3_M016',Ses01M_script01_3_M016,"b""why didn't you let me know?""",exc,sentiment,qw,qh,qw,Match,NotConMatch,qw,qw,NotMatch
b'Ses01M_script01_3_F015',Ses01M_script01_3_F015,"b'Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.'",exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M017',Ses01M_script01_3_M017,"b""Oh Annie, why don't you go ahead and give me a kiss, come on just a...""",xxx,sentiment,^q,^q,ad,Match,NotConMatch,^q,^q,NotMatch
b'Ses01M_script01_3_M018',Ses01M_script01_3_M018,b'I kissed you.  I kissed Annie.',exc,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_F016',Ses01M_script01_3_F016,"b""I'll never forgive you for waiting so long.  All I did was sit around and wonder if I was crazy for thinking about you.""",hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_M019',Ses01M_script01_3_M019,b'I kissed you.',hap,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_F017',Ses01M_script01_3_F017,"b""Like Larry's brother.  Do what like you, Chris.""",xxx,sentiment,qy^d,sd,sd,NotMatch,ConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_F018',Ses01M_script01_3_F018,"b""Chris, what's the matter?""",sad,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01M_script01_3_M020',Ses01M_script01_3_M020,"b""Do you want to go somewhere?  Let's go.""",sad,sentiment,qy,qy,qy,NotMatch,NotConMatch,qy,qy,AllMatch
b'Ses01M_script01_3_F019',Ses01M_script01_3_F019,"b'No, what is it?  Is your mother?'",sad,sentiment,qw,qw,qw,NotMatch,NotConMatch,qw,qw,AllMatch
b'Ses01M_script01_3_M021',Ses01M_script01_3_M021,"b""No, no, it's nothing like that.""",sad,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_script01_3_F020',Ses01M_script01_3_F020,"b'Well, then what?  You know, even in your letter you seem kind of ashamed.'",xxx,sentiment,sv,sv,sv,NotMatch,NotConMatch,sv,sv,AllMatch
b'Ses01M_script01_3_M022',Ses01M_script01_3_M022,"b""I don't know it's--it's complicated. But it's going from me now.""",sad,sentiment,sd,sd,sd,NotMatch,NotConMatch,sd,sd,AllMatch
b'Ses01M_script01_3_F021',Ses01M_script01_3_F021,b'You got to tell me.',sad,sentiment,sd,sv,sd,Match,NotConMatch,sd,sd,NotMatch
b'Ses01M_script01_3_M023',Ses01M_script01_3_M023,"b""I don't know.""",sad,sentiment,h,sd,h,Match,NotConMatch,h,h,NotMatch
b'Ses01M_script01_3_M024',Ses01M_script01_3_M024,"b""It's kind of all mixed up with all these other things.""",sad,sentiment,sv,sd,sv,Match,NotConMatch,sv,sv,NotMatch
b'Ses01M_script01_3_F022',Ses01M_script01_3_F022,"b""Wouldn't work like this.""",sad,sentiment,^2,qy,sv,NotMatch,NotConMatch,qy,CORRECT,NotMatch
