speaker,uttID,utterance,emotion,non_con_out,con_out,con_out_mean,match,con_match,pre-final-DA,all_match
b'Phoebe',1,"b'See, if I\xc2\x92m not buried with that ring then my spirit is going to wander the nether world for all eternity'",neutral,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Chandler',2,"b'Okay, that\xc2\x92s enough honey!'",neutral,fo_o_fw_"_by_bc,^q,^2,NotMatch,NotConMatch,^2,NotMatch
b'Customer',3,b'I don\xc2\x92t know.  Let me see the ring.',neutral,sd,sd,^h,Match,NotConMatch,sd,NotMatch
b'Chandler',4,"b'Great! Okay, here.'",joy,ba,fc,fc,Match,ConMatch,fc,NotMatch
b'Customer',5,b'All right.',neutral,fo_o_fw_"_by_bc,b,fc,NotMatch,NotConMatch,fc,NotMatch
b'Chandler',6,b'Thank you. Thank you. Thank you!  And',joy,fc,ft,fc,Match,NotConMatch,fc,NotMatch
b'Chandler',0,b"What've you been up to?",neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Jade',1,"b'Oh, you know, the usual, teaching aerobics, partying way too much.'",neutral,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Jade',2,"b'Oh, and in case you were wondering, those are my legs on the new James Bond poster.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',3,b'Can you hold on a moment? I have another call.  I love her.',joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',4,b'I know.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',5,b"I'm back.",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Jade',6,"b'So, are we gonna get together or what?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Chandler',7,"b""Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?""",neutral,qy,^q,qy,Match,NotConMatch,qy,NotMatch
b'Jade',8,"b""Great, I'll see you then.""",neutral,fc,ad,sd,NotMatch,NotConMatch,fc,NotMatch
b'Chandler',9,b'Ok.  Ok. Having a phone has finally paid off.',joy,sv,fc,fc,Match,ConMatch,fc,NotMatch
b'Ross',10,"b'Even though you do do a good Bob impression, I\'m thinkin\' when she sees you tomorow, she\'s probably gonna realize, ""Hey, you\'re not Bob.""'",neutral,sd,sd,sv,Match,NotConMatch,sd,NotMatch
b'Chandler',11,"b""I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',12,b'Oh my god. You are pure evil.',disgust,sv,ba,^q,NotMatch,NotConMatch,sv,NotMatch
b'Chandler',13,"b""Ok, pure evil , horny and alone . I've done this""",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',0,b'Nobody!',anger,sd,^q,sv,NotMatch,NotConMatch,sd,NotMatch
b'Phoebe',1,b'Nobody respects the bucket!',anger,sv,sd,sv,Match,NotConMatch,sv,NotMatch
b'Phoebe',2,b"You wouldn't believe what people put in here!",anger,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Phoebe',3,b'Look!',anger,ba,ad,ad,Match,ConMatch,ad,NotMatch
b'Phoebe',4,"b'Okay, does this look like a garbage can to you?'",anger,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Monica',5,b'No.',neutral,aa,nn,nn,Match,ConMatch,nn,NotMatch
b'Ross',0,b'This is my wedding.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',1,"b'All right, y\xc2\x92know what? We really are late! Let\xc2\x92s go! Let\xc2\x92s go! Let\xc2\x92s go!!'",anger,fo_o_fw_"_by_bc,^q,t3,NotMatch,NotConMatch,bd,NotMatch
b'Ross',2,b'Fine. You\xc2\x92ll-you\xc2\x92ll watch it on video when we get back.',neutral,sd,sd,ad,Match,NotConMatch,sd,NotMatch
b'Chandler',3,b'Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.',joy,sd,ad,fc,NotMatch,NotConMatch,sd,NotMatch
b'Phoebe',4,b'Thank you.',neutral,ft,^q,ft,Match,NotConMatch,ft,NotMatch
b'Phoebe',5,b'Thank you.',neutral,ft,fc,fc,Match,ConMatch,fc,NotMatch
b'Ross',6,"b'All right, let\xc2\x92s go! Bye, Pheebs!'",joy,fc,fc,fc,Match,ConMatch,fc,AllMatch
b'Joey',7,"b'Bye, Pheebs!'",joy,fc,fc,fc,Match,ConMatch,fc,AllMatch
b'Joey',8,b'London baby!!',joy,sd,fc,sd,Match,NotConMatch,sd,NotMatch
b'Phoebe',9,"b'Oh, do you need a hug? You don\xc2\x92t have to bring me anything!'",joy,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Chandler',0,b'Hey!',neutral,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Joey',1,b'Hey! So Estelle lined up a bunch of auditions for me tomorrow and I\xc2\x92ll have my health insurance back in no time.',joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',2,"b'That\xc2\x92s great, but shouldn\xc2\x92t you be on the toilet right now?'",disgust,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Joey',3,b'What?!',surprise,qw,br,qw,Match,NotConMatch,qw,NotMatch
b'Chandler',4,b'What\xc2\x92s wrong with you?',disgust,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Joey',5,b'Nothing!',neutral,sd,na,sd,Match,NotConMatch,sd,NotMatch
b'Joey',6,"b'Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven\xc2\x92t been able to stand up since.'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',7,"b'But um, I don\xc2\x92t think it\xc2\x92s anything serious.'",neutral,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Chandler',8,b'This sounds like a hernia. You have to\xc2\x97you-you go to the doctor!',surprise,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Joey',9,"b'No way! \xc2\x91Kay look, if I have to go to the doctor for anything it\xc2\x92s gonna be for this thing sticking out of my stomach!'",fear,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',10,b'That\xc2\x92s a hernia.',disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',11,b'Why did I have to start working out again?  Damn you 15s!',anger,qy,^q,qw,NotMatch,NotConMatch,qh,NotMatch
b'Mona',0,b'I love your place! Where is this guy from?',joy,sd,sd,qw,Match,NotConMatch,sd,NotMatch
b'Ross',1,b'Uh that\xc2\x92s an eighteenth century Indian artifact from Calcutta.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Mona',2,"b'Oh wow! So, you\xc2\x92re more than just dinosaurs.'",surprise,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Ross',3,b'So much more.',neutral,sd,sd,sv,Match,NotConMatch,sd,NotMatch
b'Ross',0,"b'Well, well to sum up, we\xc2\x92re having fun, you look young.'",neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Mona',1,b'Okay',neutral,fo_o_fw_"_by_bc,b,fo_o_fw_"_by_bc,Match,NotConMatch,b,NotMatch
b'Ross',2,b'But that\xc2\x92s not enough. So\xc2\x85 So\xc2\x85here\xc2\x92s a key to my apartment.',neutral,sd,sd,bf,Match,NotConMatch,sd,NotMatch
b'Mona',3,b'Really?!',surprise,bh,bh,bh,Match,ConMatch,bh,AllMatch
b'Ross',4,b'Really.',neutral,b,b,na,Match,NotConMatch,b,NotMatch
b'Mona',5,b'You don\xc2\x92t think this is too fast.',neutral,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Ross',0,b'Get Out!',anger,^2,bf,ad,NotMatch,NotConMatch,ad,NotMatch
b'Charlie',1,"b'Ross, can I talk to you for a minute?'",neutral,qy,qy,ad,Match,NotConMatch,qy,NotMatch
b'Ross',2,"b""Yes, please!  So, what's going on?""",neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Charlie',3,"b'Uh, well... Joey and I broke up.'",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',4,"b'Oh my God, wh-what happened?'",surprise,qw,qw,sd,Match,NotConMatch,qw,NotMatch
b'Charlie',5,"b""Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!""",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',6,b'I knew that was him!',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Charlie',7,"b""Anyway I just, uh, I think it's for the best.""",sadness,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Ross',8,"b'Hey, you ok?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Charlie',9,b'I guess.',sadness,sd,sv,sv,Match,ConMatch,sv,NotMatch
b'Charlie',10,b'There was hum...  there was another reason that I thought it was time to end it with Joey.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Charlie',11,b'I started to realize that I was having feelings for someone  else.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Paleontologist',12,"b'Ok Geller. Last day of the conference, you know what happens to the keynote speaker.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',13,"b""Oh, professor Clerk we're kind of in the middle of a conversation, here.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Charlie',14,"b'Yeah, can you guys just throw him in the pool later?'",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Professore Clerk',15,b'Or we could throw you both in',joy,sv,bf,sd,NotMatch,NotConMatch,qrr,NotMatch
b'Ross',16,"b'Ok, gentlemen!'",anger,b,ba,fc,NotMatch,NotConMatch,b,NotMatch
b'Ross',17,b'Please!',anger,ba,bd,fc,NotMatch,NotConMatch,br,NotMatch
b'Ross',18,b"Aren't we a little old for this?",anger,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Ross',19,"b""I mean, we're scientists, right?""",neutral,sv,qy,qy,Match,ConMatch,qy,NotMatch
b'Ross',20,b"We're academics.",anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',21,b'And most importantly I... you-you will have to catch us first.',joy,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Ross',22,"b'GO, GO, GO!'",joy,fc,fc,ad,Match,NotConMatch,fc,NotMatch
b'Ross',0,"b'Go, go, go!'",joy,ad,ad,ad,Match,ConMatch,ad,AllMatch
b'Rachel',1,"b'Oh yeah, now everybody wants to be under this hat!'",joy,sv,sd,sv,Match,NotConMatch,sv,NotMatch
b'Phoebe',2,b'Oy!!',disgust,ba,ba,sv,Match,NotConMatch,ba,NotMatch
b'Monica',3,b'What\xc2\x92s with all this sand?',surprise,qy^d,qy,qy,Match,ConMatch,qy,NotMatch
b'Phoebe',4,"b'Oh, yeah, Bob said there might be flood damage.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',5,"b'Yeah, either that, or he has a really big cat.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',0,"b""Okay, see that blind guy right there? I'm gonna bash his head in later.""",anger,sd,sd,qy,Match,NotConMatch,sd,NotMatch
b'Joey',1,"b'Oh umm, my big scene is coming up. Big scene coming up.'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Chandler',2,"b'If you said, ""Big lima bean, bubbling up."" Would she understand the difference?'",neutral,qy,sd,qy,Match,NotConMatch,qy,NotMatch
b'Monica',3,b'Rach? What are you doing?',neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Rachel',4,"b""Oh boy, I just can't watch. It's too scary!""",fear,sd,^q,sd,Match,NotConMatch,sd,NotMatch
b'Monica',5,b"It's a diaper commercial.",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',6,"b'Oh yeah well, you know me, babies, responsibilities, ahhh!!!'",fear,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Caitlin',7,b'Pizza delivery!',joy,sd,bf,sd,Match,NotConMatch,sd,NotMatch
b'Ross',8,b"I'll get it! I will get that!",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Caitlin',9,b'Hi!',joy,fp,fp,fp,Match,ConMatch,fp,AllMatch
b'Ross',10,b'Hi!',joy,fp,fp,fp,Match,ConMatch,fp,AllMatch
b'Ross',0,"b'Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?'",neutral,qy,qy,ad,Match,NotConMatch,qy,NotMatch
b'Joey',1,"b'Uhh, the ball thing.'",neutral,sv,ad,sd,NotMatch,NotConMatch,qrr,NotMatch
b'Ross',2,b'Yeah?',neutral,bh,%,qh,NotMatch,NotConMatch,qh,NotMatch
b'Joey',3,"b""Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!""",joy,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Ross',4,"b'Uhh,'",neutral,b,^q,ny,NotMatch,NotConMatch,ny,NotMatch
b'Joey',5,b'Okay!',joy,fo_o_fw_"_by_bc,^h,fc,NotMatch,NotConMatch,^h,NotMatch
b'Joey',6,b'Uh-oh.',fear,b,b,b,Match,ConMatch,b,AllMatch
b'Ross',7,b'What?',neutral,br,qw,qw,Match,ConMatch,qw,NotMatch
b'Joey',8,b"I have to pee. And Rachel's in the bathroom!",sadness,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Joey',9,"b""Man, I didn't think we were gonna make it!""",surprise,sv,sv,sd,Match,NotConMatch,sv,NotMatch
b'Ross',10,"b""I know!  Don't switch hands, okay?""",fear,qy^d,sd,qy,NotMatch,NotConMatch,qy^d,NotMatch
b'Joey',0,b'Hey.',neutral,ba,ba,ft,Match,NotConMatch,ba,NotMatch
b'Phoebe',1,b'Hey!',neutral,ba,ba,ba,Match,ConMatch,ba,AllMatch
b'Rachel',0,b'How did it go with Erin?',neutral,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Joey',1,"b'Oh, unbelievable! We had the best time!'",joy,sd,sv,sd,Match,NotConMatch,sd,NotMatch
b'Phoebe',2,"b'Yay!! Oh so, you\xc2\x92re not, you\xc2\x92re not mad at us anymore?'",joy,qy,^q,qy,Match,NotConMatch,qy,NotMatch
b'Joey',3,b'No!',joy,aa,nn,nn,Match,ConMatch,nn,NotMatch
b'Joey',4,b'No!',joy,aa,nn,nn,Match,ConMatch,nn,NotMatch
b'Joey',5,b'No!',joy,aa,bd,aa,Match,NotConMatch,aa,NotMatch
b'Joey',6,b'You guys were totally right!',joy,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Joey',7,b'This is so much better than the first time we went out.',joy,sd,sv,sv,Match,ConMatch,sv,NotMatch
b'Joey',8,b'Y\xc2\x92know?',neutral,br,br,qy,Match,NotConMatch,br,NotMatch
b'Joey',9,"b'That was so awkward, we were really nervous.'",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',10,b'Didn\xc2\x92t you sleep together?',neutral,qy^d,qy,qy,Match,ConMatch,qy,NotMatch
b'Joey',11,"b'Yeah, that really calms me down.'",neutral,sv,na,sd,NotMatch,NotConMatch,na,NotMatch
b'Joey',12,b'And!',joy,sv,x,sd,NotMatch,NotConMatch,sv,NotMatch
b'Joey',13,b'We have so much in common!',joy,sd,sv,sd,Match,NotConMatch,sv,NotMatch
b'Joey',14,"b'She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that\xc2\x92s a'",joy,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Rachel',15,"b'Oh my God! Listen to you talkin\xc2\x92 about having kids. Oh my Joey.  Oh, please don\xc2\x92t get married before I do.'",surprise,sd,ba,sd,Match,NotConMatch,sd,NotMatch
b'Joey',16,b'Okay.',neutral,b,b,fo_o_fw_"_by_bc,Match,NotConMatch,b,NotMatch
b'Monica',0,b'How does she do that?',surprise,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Ross',1,b'I cannot sleep in a public place.',neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Monica',2,b'Would you look at her? She is so peaceful.',joy,qy,qy,qy,Match,ConMatch,qy,AllMatch
b'Phoebe',3,b'Oh! What what what! ...Hi.',surprise,qw,ad,nn,NotMatch,NotConMatch,ba,NotMatch
b'Ross',4,"b""It's okay, y'know, you just nodded off again.""",neutral,sv,sd,sd,Match,ConMatch,sd,NotMatch
b'Monica',5,b"What's going on with you?",surprise,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Phoebe',6,b'I got no sleep last night!',anger,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Ross',7,b'Why?',neutral,br,qw,qw,Match,ConMatch,qw,NotMatch
b'Phoebe',8,"b""My grandmother has this new boyfriend, and they're both kind of insecure in bed.""",disgust,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',9,"b'Oh, and deaf.'",neutral,b,b,ba,Match,NotConMatch,b,NotMatch
b'Phoebe',10,"b""So they're constantly, like, having to reassure each other that they're having a good time.""",neutral,sd,sd,sd,Match,ConMatch,sd,AllMatch
b'Phoebe',11,b'You have no idea how loud they are!',disgust,sv,sv,sv,Match,ConMatch,sv,AllMatch
b'Monica',12,"b'Well, if you want, you can stay with Rachel and me tonight.'",neutral,sd,sd,sv,Match,NotConMatch,sd,NotMatch
b'Phoebe',13,b'Thanks.',joy,fc,fc,ft,Match,NotConMatch,fc,NotMatch
b'Joey',0,b'Ew! What is that? Something exploded!',disgust,qw,qw,qw,Match,ConMatch,qw,AllMatch
b'Nurse',1,"b""It's just her water breaking. Calm down, will you?""",neutral,qy,qy,qy,Match,ConMatch,qy,AllMatch
