speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'A',A,"b""{C And, } it's in the north,  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'I live up in the, {F uh, } northeast corner  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C and } Attleboro sits in just over the line,'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C but } there isn't a lot of heavy industry.  /""",A,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'A',A,"b""There's the freeways  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C and } we get an occasional, - /'",A,,sd,sd,sd,%,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b""it depends which way the wind's blowing from Boston, cause we're {D like } forty miles south of Boston,  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C so } we'll pick up that.  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C And, } {F uh, } I've noticed over the past say, maybe five or six years, {F uh, } - /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'we live about twenty miles away from the state airport  /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C and } I notice that the fly patterns now of the jets are getting bigger,  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""they're swinging wider so that now they are coming [ over, + over ] our homes. /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C And, } it seems like, {F uh, } we're catching all that residue.  /""",A,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b""I'm not sure if it's kerosene or what that's dropping.  /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C But, } other than that, {D you know, } we don't have [ the, + {A unless we're catching it from the midwest, } the ] emissions.""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Yeah. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'You mean {D like } from the coal. /',B,,sd,sd,sd,bf,sv,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'A',A,"b'Yeah,  /'",A,,b,b,aa,b,b,b,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'yeah,  /'",A,,b,b,aa,b,b,b,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'we generate, - /'",A,,%,%,sd,%,sd,sd,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'one of [ our, + our  ] biggest electrical plants in Rhode Island uses coal to, {F uh, }'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{F Um, } /'",B,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{F Um, } there doesn't seem to be much emission from them,  /""",A,,sv,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'A',A,"b""{C but } I'm not sure about the rest of the country. /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'I notice locally a major problem is Kodak.  /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{F Um, } it's interesting  /""",B,,sv,ba,sv,sd,ba,sv,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'B',B,"b""{C because } in order to, {F uh, } keep with the E P A standards [ which, + which  ] tend to be visible, {F uh, } what's coming out of your smokestack, they do all their emissions at night.  /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{F Uh, } {C so } people get up, -/'",B,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'Okay,  /'",A,,bk,b,b,"fo_o_fw_""_by_bc",b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b'{D well, } is that right? <laughter>. /'",A,,qy,qy,qy,qy,ad,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'B',B,b'people get up in the morning in that neighborhood  /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{C and } they've got this black ash on their cars,""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'<Laughter>.',A,,x,x,x,x,x,x,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'surprise, surprise. /'",A,,sv,sd,sd,sd,ba,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{E I mean, } I really think that if the E P A had anything on the ball they'd go in there with a few phosphorous grenades, light up the sky, photograph the emissions at that point, and, {F uh, } {D you know, } -/""",B,,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,b'Yeah.  /',A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'[ There, + there ] must be, {F uh, } {F uh, } [ some of the, + some of the, ] {F uh, } larger plants [ up, + {F uh, } up ] around one hundred twenty-eight. /'",A,,sv,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{F Um, } we've got reports that, {F uh, } - /""",A,,sd,%,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'A',A,"b""during the night seems like they'd blow off [ their, + their ] stacks from, {F uh, }""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Right. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C and, } they do that at night too, because,'",A,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'B',B,b'Right. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,aa,b,b,b,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'B',B,b'yeah. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C So, } you're right,  /""",A,,aa,aa,sv,aa,sv,sv,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'they could do something [ [ a-. + about,  ] + about  ] that, I guess. /'",A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,b'Yeah.  /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'That seems a little ridiculous. /',B,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'A',A,"b'How are [ your, + {F uh, } your  ] lakes,  /'",A,,qw,qo,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'A',A,"b'{C and, } {F uh, } -/'",A,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{F Oh } they've been getting cleaner. /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'They have? /',A,,qy^d,qy,qy^d,qy^d,qy,qy^d,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,b'Sure.  /',B,,b,b,b,na,ny,xx,AllNotMatch,NotConMatch,NotMatch
b'B',B,"b'{C But, } {F um, } yeah,  /'",B,,b,b,%,ny,ny,ny,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'B',B,"b""I'm not sure how much the water pollution [ is, + is ] directly related to the air pollution, other than acid rain,  /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'yeah, /'",B,,b,b,%,%,b,%,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'A',A,"b'Acid rain,  /'",A,,b^m,sd,bf,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'yeah,  /'",A,,b,b,aa,%,b,xx,AllNotMatch,NotConMatch,NotMatch
b'A',A,"b""[ that's, + that's  ] what I was, {F uh, } -/""",A,,sd,sd,sd,sd,%,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,"b""{E I mean } the stuff I've read recently in Technology Review basically indicates that acid rain may be a little bit, {F uh, } overstated.  That a lot of the die off they've seen in forests may not really be due to acid rain at all.  /""",B,,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'B',B,"b'{F Um, } ye-, - /'",B,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'B',B,"b""I'm not an expert. /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,b'no.  /',A,,nn,nn,aa,aa,aa,aa,AllNotMatch,ConMatch,NotMatch
b'A',A,"b""Didn't they just have an article, {F oh, } on, {F uh, } - /""",A,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'A',A,b'they were dumping lime. /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Up here? /',B,,qy^d,qy,br,qy,br,br,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'[ Up, + upstate  ] New York somewhere,'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""I haven't read that. /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'{F Oh } yeah. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C and } they thought that was more beneficial because, {D you know } [ [ it, + it, ] + some of it ] does soak in  /'",A,,sv,sd,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'{C and } some of it runs off right away [ into the, + in to the ] streams and rivers  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'{C and } some of the fish were supposedly making a comeback. /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""I can't remember where - /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'[ I, +  I  ] read that recently somewhere,  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C and } I can't remember where. /""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""that's interesti-, /""",B,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'A',A,"b'{C But } [ I, + I ] thought it was up there.  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{C So, } that's interesting because New Hampshire,""",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'{F Um. } /',B,,%,b,%,%,%,%,AllNotMatch,ConMatch,NotMatch
b'A',A,"b""{F Um, } you kind of think it's something else then? /""",A,,qy,qy,qy,qy^d,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'B',B,"b""{D Well, } that's what the environmentalists were claiming in this article.  /""",B,,sd,sd,na,na,sd,na,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'B',B,"b'{C So } that, -/'",B,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{F Oh, } [ they didn't say, + they didn't say  ] what though,  /""",A,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b'they just said they thought it was, -/'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""They didn't say what,  /""",B,,sd,sd,sd,sd,br,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,"b""they just said they thought acid rain's contribution may be less than was previously suspected.  {F Um, } that it may be other natural things at work.  {F Um, } /""",B,,sv,sv,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'{F Uh, } natural disease, /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{C so } [ it's, + it's  ] less than clear.  /""",B,,sv,sd,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'B',B,"b""Like I said, I don't remember the article that well. /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,b'yeah. /',A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{C But, } {F um, } I don't know,  /""",B,,h,h,h,h,h,h,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{E I mean, } what do you think we can, {F uh, } I guess as individuals or as a group, do about, {F uh, } air pollution? <<pause>>. /'",B,,qw,qo,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b'{F Uh, } we can demand, {F uh, } more efficient automobiles for one thing.  /'",A,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'A',A,"b""I still think [ that's, + that's,  ] {F uh, } one of our major causes of pollutants. /""",A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{F Uh, } how we go about that, [ it's + {F uh, } {F uh, } it's ] a little bit difficult. /""",A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,"b""I think it's up to individuals too, to ask automakers [ for, +""",B,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah, /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b""[ [ you ne-, + yo-, ne-, ] + I think you need ] [ a, + a ] vehicle something like, {F uh, } Ralph Nader, Nader's Raiders, [ or, +""",A,,sv,qy,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'B',B,b'Yeah. /',B,,b,b,b,ny,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,b'Do you really think that new vehicles though is a big problem.  /',B,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{E I mean, } I remember reading an article that said {D like, } it's, {F uh, } the older polluters,  /""",B,,sd,sd,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'B',B,"b'[ the, + the ] twelve and fifteen year old cars, {D you know, } contribute {D like } ninety percent,'",B,,sd,sd,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'Yeah, /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{C and } the new cars [ it's hardly + is, hardly ] anything. /""",B,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""they're better,  /""",A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'A',A,b'{C but } how about all the trucks and buses that are out there.  /',A,,qh,sd,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b""{F Uh, } when was the last time you saw a truck that didn't belch, smoke, or, {F uh, } -/""",A,,sd,qy,qw,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,ny,ny,ny,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'B',B,"b""{C but } doesn't that just mean they're out of tune. /""",B,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'A',A,"b""{F Uh, } I'm not really sure.  /""",A,,h,no,h,h,sd,h,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'A',A,"b""You think [ [ that, + that, ] + that ] [ the, + {F uh, } the ] trucking [ indus-, + industry ] is that, {F uh, } incompetent, that they wouldn't, {D you know, } - /""",A,,qy,sv,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'A',A,"b'fuel [ is, + is ] one of their biggest costs. /'",A,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'B',B,b'Right. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{C So, } you would, -/'",A,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'B',B,b'{C But } diesel engines. /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b'Yeah,  /'",A,,b,b,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,b'diesel engines. /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""[ [ It, + {D you know, } it's, ] + it, ] - /""",B,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{E I mean, } they do generate a lot of soot  /'",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{C but } [ that + at least, that ] kind of particulate comes out of the air pretty quickly. /'",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'Yeah.  /',A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,b'Yeah.  /',A,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b'We could also, {F uh, } push for legislation for, {F uh, } rapid transit systems.  /'",A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,b'This country seems to be a little behind on that. /',A,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'B',B,b'Yeah.  /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'B',B,"b""On the other hand most people don't use rapid transit because it's so inconvenient. /""",B,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'A',A,"b'{F Um, } yeah,  /'",A,,ny,ny,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'A',A,"b'{C but } only because we got used to, {F uh, } single person, single car,'",A,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""A lot of people don't even like to carpool. /""",A,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,b'{C But } we could that.  /',A,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""That'll help,""",A,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""The, {F uh, } United States and Canada [ [ are I guess, + is, ] + is, ] going into, {F uh, } some types of agreements to limit, {F uh, } what's being given out by power plants, /""",A,,sv,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'B',B,b'Uh-huh. /',B,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'A',A,"b""I guess Canada's quite concerned that we're sending a lot of our stuff up there, /""",A,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'B',B,"b'Yeah,  /'",B,,b,b,b,aa,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'B',B,b'sure. /',B,,b,aa,b,aa,aa,aa,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b""{C So } that's helping. /""",A,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'B',B,"b'{D Well, } what do you think about {D like } a device, a meter right on a tail pipe  /'",B,,qo,qy,qo,qy,qw,qo,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'B',B,b'{C and } you pay the tax based on how much you polluted? /',B,,qy,qy,qy,qrr,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'A',A,"b""{D Now } that's an idea.  /""",A,,sv,ba,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'A',A,"b""don't say that too loud though because, {F uh, } every city and town will have a meter on your <laughter> tail pipe [ generating + # generating ] revenue, # /""",A,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'B',B,"b""# {D Well, } it just means if you don't pollute, {D right, } or you pollute very little # you don't have to pay any tax  /""",B,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'B',B,b'{C or } you just buy one of these things  /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{C and } [ it, + it, ] {F uh, } - /'",B,,%,%,%,%,%,%,AllMatch,NotConMatch,NotMatch
b'B',B,"b'maybe [ you, + you ] could probably devise them so it slowly closed off your tail pipe  /'",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b'{C and, } {F uh, } the less you pollute the longer the devise lasts  /'",B,,sv,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'B',B,b'{C and } if you pollute a lot then it closed off your tail pipe  /',B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'B',B,"b""{C and } you couldn't start your car anymore. /""",B,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'A',A,"b""[ That's a, + that's an  ] interesting concept.  /""",A,,sv,ba,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'A',A,b'Is that your idea? /',A,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
