speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Ses01F_script02_1_F',007,b'',ang,,sd,sd,sd,fc,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',011,b'',neu,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',012,b'',fru,,sv,qy,sv,qy^d,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',013,b'',neu,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',008,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',014,b'',neu,,sd,sd,sv,b^m,b,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',015,b'',neu,,qy,qy,qy,sv,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',016,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',009,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',017,b'',xxx,,sd,sd,sd,qy^d,qy,sd,AllNotMatch,NotConMatch,ConfMatchSecond124
b'Ses01F_script02_1_F',010,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',018,b'',fru,,sv,sv,ad,sd,sv,sv,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01F_script02_1_F',011,b'',xxx,,sd,qy^d,ad,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01F_script02_1_M',019,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',012,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',020,b'',neu,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_F',013,b'',xxx,,sv,sv,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses01F_script02_1_M',021,b'',neu,,sv,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_F',014,b'',fru,,ba,sv,sv,aa,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',022,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',015,b'',neu,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',023,b'',neu,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_F',016,b'',xxx,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',024,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',017,b'',fru,,sv,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01F_script02_1_M',025,b'',neu,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_1_M',026,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',018,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',027,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',019,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',028,b'',xxx,,sd,sd,sd,na,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',029,b'',neu,,qy,qy,qy,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01F_script02_1_F',020,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_M',030,b'',sur,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_F',021,b'',fru,,sd,sd,sd,^q,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_1_M',031,b'',neu,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_1_M',032,b'',neu,,qy,qy,qy,qy,b,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_F',022,b'',xxx,,sd,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_1_M',033,b'',neu,,qw,qy,qo,qy,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',023,b'',fru,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_M',034,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',035,b'',exc,,bh,bh,bh,bh,b,bh,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_M',036,b'',hap,,sv,sv,bf,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_1_M',037,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_M',038,b'',exc,,ba,ba,b,ba,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses01F_script02_1_M',039,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',040,b'',exc,,qy,qy^d,qy^d,qy^d,qy,qy^d,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_1_M',041,b'',xxx,,b,b,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_1_M',042,b'',xxx,,sd,sd,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01F_script02_1_F',024,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',043,b'',hap,,ad,^2,bf,b^m,ad,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_F',025,b'',neu,,br,ad,ad,fa,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_1_M',044,b'',hap,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',000,b'',neu,,b,b,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_M',000,b'',neu,,ad,sd,ad,^h,ad,ad,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',001,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',002,b'',neu,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',001,b'',neu,,sd,aa,ng,sv,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',003,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',002,b'',xxx,,sd,sd,sd,ad,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',004,b'',neu,,qw,qy,ad,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_M',003,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',005,b'',neu,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',004,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',006,b'',neu,,sd,sd,ad,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_M',005,b'',neu,,sd,qh,^q,qh,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',007,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',006,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',008,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',007,b'',xxx,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',009,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',010,b'',hap,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',008,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',011,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',009,b'',hap,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_F',012,b'',hap,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_M',010,b'',hap,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',013,b'',hap,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_M',011,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',014,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',012,b'',xxx,,sd,ba,sd,no,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',015,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',013,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',016,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',014,b'',sur,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_F',017,b'',hap,,qy^d,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_M',015,b'',hap,,sd,sd,sd,ng,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',018,b'',xxx,,qw,qh,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script01_3_M',016,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',017,b'',hap,,b,sd,b,fc,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',018,b'',xxx,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_F',019,b'',hap,,br,br,br,qw,br,br,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',020,b'',hap,,sd,qy^d,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_M',019,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',021,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',020,b'',hap,,bh,qy,qy^d,qy,br,qy,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01F_script01_3_F',022,b'',neu,,qw,qy,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',023,b'',xxx,,b,aa,%,sd,x,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',021,b'',sad,,sv,qy,qy^d,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_F',024,b'',xxx,,sd,sd,sd,na,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',022,b'',sad,,sd,fc,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_F',025,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',023,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',026,b'',xxx,,qy,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_M',024,b'',sad,,sd,fa,^q,qy,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',027,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',025,b'',sad,,qy,sv,qy,sd,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',028,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',026,b'',sad,,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_F',029,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',027,b'',sad,,qy,qy,qy^d,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_F',030,b'',sad,,sd,sd,na,sv,sd,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01F_script01_3_M',028,b'',sad,,qw,qh,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',029,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',030,b'',sad,,^q,ad,ad,^q,ad,ad,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',031,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',031,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',032,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',033,b'',sad,,qy^d,sd,sd,sd,fc,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script01_3_M',034,b'',xxx,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',035,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_M',036,b'',sad,,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script01_3_F',032,b'',xxx,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script01_3_M',037,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script01_3_F',033,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script01_3_F',034,b'',xxx,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_M',038,b'',xxx,,h,sd,h,sd,h,h,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script01_3_F',035,b'',hap,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_M',000,b'',xxx,,^2,sv,sv,qy,bf,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',001,b'',exc,,qy,qy^d,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_M',002,b'',exc,,b,aa,na,ny,ny,ny,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_script02_2_F',000,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',003,b'',exc,,qw,qw,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script02_2_F',001,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',004,b'',xxx,,sv,sd,ba,sd,ba,ba,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses01M_script02_2_F',002,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',005,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',003,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',004,b'',xxx,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_M',006,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',005,b'',fru,,sv,sv,sv,sd,ba,sv,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01M_script02_2_F',006,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',007,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',008,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',007,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',009,b'',fru,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script02_2_M',008,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',010,b'',ang,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script02_2_M',009,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',011,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',010,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',012,b'',fru,,qy,qy,ad,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_M',011,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',012,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',013,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',013,b'',neu,,qw,qh,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_F',014,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',014,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',015,b'',ang,,qw,qo,qo,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_F',016,b'',ang,,br,br,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses01M_script02_2_M',015,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',017,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',016,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',017,b'',fru,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',018,b'',xxx,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_M',018,b'',fru,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_M',019,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',020,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',021,b'',neu,,qy,ad,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_F',019,b'',neu,,sd,ad,ad,sd,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',020,b'',xxx,,qw,qw,^q,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_F',021,b'',xxx,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_F',022,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',022,b'',neu,,sd,sd,sd,^2,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_F',023,b'',xxx,,qw,qh,qo,qw,bh,qw,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01M_script02_2_M',023,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',024,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',024,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',025,b'',neu,,sd,sv,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_M',026,b'',xxx,,sv,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_F',025,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',027,b'',neu,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script02_2_F',026,b'',sad,,sv,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_M',028,b'',neu,,aa,aa,sd,sv,aa,aa,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01M_script02_2_F',027,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',029,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',030,b'',neu,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script02_2_M',031,b'',fru,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script02_2_F',028,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',032,b'',fru,,sd,sd,ad,sd,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_F',029,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script02_2_M',033,b'',ang,,qy,qy^d,qy,qy,sd,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
